Image,Name,Total,Percentage,Event
/images/characters/chiori.png,Chiori,"23,608",57.09,Of Silken Clouds Woven & Oni's Royale
/images/characters/arataki_itto.png,Arataki Itto,"4,103",9.92,Of Silken Clouds Woven & Oni's Royale
/images/characters/tighnari.png,Tighnari,"2,019",4.88,Of Silken Clouds Woven & Oni's Royale
/images/characters/jean.png,Jean,"1,968",4.76,Of Silken Clouds Woven & Oni's Royale
/images/characters/diluc.png,Diluc,"1,961",4.74,Of Silken Clouds Woven & Oni's Royale
/images/characters/mona.png,Mona,"1,957",4.73,Of Silken Clouds Woven & Oni's Royale
/images/characters/qiqi.png,Qiqi,"1,929",4.66,Of Silken Clouds Woven & Oni's Royale
/images/characters/keqing.png,Keqing,"1,922",4.65,Of Silken Clouds Woven & Oni's Royale
/images/characters/dehya.png,Dehya,"1,887",4.56,Of Silken Clouds Woven & Oni's Royale
/images/characters/yae_miko.png,Yae Miko,"16,973",33.77,Invitation to Mundane Life & Everbloom Violet
/images/characters/xiao.png,Xiao,"16,203",32.24,Invitation to Mundane Life & Everbloom Violet
/images/characters/tighnari.png,Tighnari,"2,493",4.96,Invitation to Mundane Life & Everbloom Violet
/images/characters/mona.png,Mona,"2,484",4.94,Invitation to Mundane Life & Everbloom Violet
/images/characters/jean.png,Jean,"2,479",4.93,Invitation to Mundane Life & Everbloom Violet
/images/characters/diluc.png,Diluc,"2,460",4.89,Invitation to Mundane Life & Everbloom Violet
/images/characters/keqing.png,Keqing,"2,430",4.83,Invitation to Mundane Life & Everbloom Violet
/images/characters/qiqi.png,Qiqi,"2,386",4.75,Invitation to Mundane Life & Everbloom Violet
/images/characters/dehya.png,Dehya,"2,352",4.68,Invitation to Mundane Life & Everbloom Violet
/images/characters/xianyun.png,Xianyun,"86,259",40.72,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/nahida.png,Nahida,"55,348",26.13,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/jean.png,Jean,"10,184",4.81,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/tighnari.png,Tighnari,"10,166",4.8,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/keqing.png,Keqing,"10,100",4.77,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/qiqi.png,Qiqi,"10,067",4.75,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/dehya.png,Dehya,"9,935",4.69,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/diluc.png,Diluc,"9,926",4.69,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/mona.png,Mona,"9,864",4.66,The Crane Soars Skyward & The Moongrass' Enlightenment
/images/characters/raiden_shogun.png,Raiden Shogun,"97,036",58.09,Reign of Serenity & Tapestry of Golden Flames
/images/characters/yoimiya.png,Yoimiya,"14,334",8.58,Reign of Serenity & Tapestry of Golden Flames
/images/characters/tighnari.png,Tighnari,"8,167",4.89,Reign of Serenity & Tapestry of Golden Flames
/images/characters/mona.png,Mona,"8,086",4.84,Reign of Serenity & Tapestry of Golden Flames
/images/characters/jean.png,Jean,"7,925",4.74,Reign of Serenity & Tapestry of Golden Flames
/images/characters/diluc.png,Diluc,"7,892",4.72,Reign of Serenity & Tapestry of Golden Flames
/images/characters/qiqi.png,Qiqi,"7,875",4.71,Reign of Serenity & Tapestry of Golden Flames
/images/characters/dehya.png,Dehya,"7,873",4.71,Reign of Serenity & Tapestry of Golden Flames
/images/characters/keqing.png,Keqing,"7,868",4.71,Reign of Serenity & Tapestry of Golden Flames
/images/characters/navia.png,Navia,"111,494",56.13,In the Name of the Rosula & The Heron's Court
/images/characters/kamisato_ayaka.png,Kamisato Ayaka,"22,418",11.29,In the Name of the Rosula & The Heron's Court
/images/characters/tighnari.png,Tighnari,"9,345",4.7,In the Name of the Rosula & The Heron's Court
/images/characters/mona.png,Mona,"9,316",4.69,In the Name of the Rosula & The Heron's Court
/images/characters/qiqi.png,Qiqi,"9,278",4.67,In the Name of the Rosula & The Heron's Court
/images/characters/dehya.png,Dehya,"9,265",4.66,In the Name of the Rosula & The Heron's Court
/images/characters/keqing.png,Keqing,"9,235",4.65,In the Name of the Rosula & The Heron's Court
/images/characters/diluc.png,Diluc,"9,163",4.61,In the Name of the Rosula & The Heron's Court
/images/characters/jean.png,Jean,"9,120",4.59,In the Name of the Rosula & The Heron's Court
/images/characters/kamisato_ayato.png,Kamisato Ayato,"36,578",45.11,Twilight Arbiter & Azure Excursion
/images/characters/cyno.png,Cyno,"15,135",18.66,Twilight Arbiter & Azure Excursion
/images/characters/jean.png,Jean,"4,310",5.32,Twilight Arbiter & Azure Excursion
/images/characters/dehya.png,Dehya,"4,241",5.23,Twilight Arbiter & Azure Excursion
/images/characters/tighnari.png,Tighnari,"4,231",5.22,Twilight Arbiter & Azure Excursion
/images/characters/keqing.png,Keqing,"4,214",5.2,Twilight Arbiter & Azure Excursion
/images/characters/qiqi.png,Qiqi,"4,157",5.13,Twilight Arbiter & Azure Excursion
/images/characters/diluc.png,Diluc,"4,143",5.11,Twilight Arbiter & Azure Excursion
/images/characters/mona.png,Mona,"4,082",5.03,Twilight Arbiter & Azure Excursion
/images/characters/furina.png,Furina,"370,588",63.79,Chanson of Many Waters & Immaculate Pulse
/images/characters/tighnari.png,Tighnari,"26,778",4.61,Chanson of Many Waters & Immaculate Pulse
/images/characters/mona.png,Mona,"26,744",4.6,Chanson of Many Waters & Immaculate Pulse
/images/characters/qiqi.png,Qiqi,"26,558",4.57,Chanson of Many Waters & Immaculate Pulse
/images/characters/dehya.png,Dehya,"26,453",4.55,Chanson of Many Waters & Immaculate Pulse
/images/characters/jean.png,Jean,"26,443",4.55,Chanson of Many Waters & Immaculate Pulse
/images/characters/keqing.png,Keqing,"26,438",4.55,Chanson of Many Waters & Immaculate Pulse
/images/characters/diluc.png,Diluc,"26,393",4.54,Chanson of Many Waters & Immaculate Pulse
/images/characters/baizhu.png,Baizhu,"24,571",4.23,Chanson of Many Waters & Immaculate Pulse
/images/characters/wriothesley.png,Wriothesley,"98,096",54.1,Tempestuous Destiny & Ballad in Goblets
/images/characters/venti.png,Venti,"22,439",12.37,Tempestuous Destiny & Ballad in Goblets
/images/characters/qiqi.png,Qiqi,"8,758",4.83,Tempestuous Destiny & Ballad in Goblets
/images/characters/tighnari.png,Tighnari,"8,758",4.83,Tempestuous Destiny & Ballad in Goblets
/images/characters/mona.png,Mona,"8,743",4.82,Tempestuous Destiny & Ballad in Goblets
/images/characters/jean.png,Jean,"8,656",4.77,Tempestuous Destiny & Ballad in Goblets
/images/characters/dehya.png,Dehya,"8,645",4.77,Tempestuous Destiny & Ballad in Goblets
/images/characters/diluc.png,Diluc,"8,619",4.75,Tempestuous Destiny & Ballad in Goblets
/images/characters/keqing.png,Keqing,"8,616",4.75,Tempestuous Destiny & Ballad in Goblets
/images/characters/neuvillette.png,Neuvillette,"221,030",51.31,Decree of the Deeps & Moment of Bloom
/images/characters/hu_tao.png,Hu Tao,"70,589",16.39,Decree of the Deeps & Moment of Bloom
/images/characters/dehya.png,Dehya,"20,156",4.68,Decree of the Deeps & Moment of Bloom
/images/characters/tighnari.png,Tighnari,"19,991",4.64,Decree of the Deeps & Moment of Bloom
/images/characters/diluc.png,Diluc,"19,956",4.63,Decree of the Deeps & Moment of Bloom
/images/characters/keqing.png,Keqing,"19,911",4.62,Decree of the Deeps & Moment of Bloom
/images/characters/jean.png,Jean,"19,858",4.61,Decree of the Deeps & Moment of Bloom
/images/characters/qiqi.png,Qiqi,"19,642",4.56,Decree of the Deeps & Moment of Bloom
/images/characters/mona.png,Mona,"19,632",4.56,Decree of the Deeps & Moment of Bloom
/images/characters/zhongli.png,Zhongli,"88,160",50.68,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/tartaglia.png,Tartaglia,"28,235",16.23,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/diluc.png,Diluc,"8,371",4.81,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/mona.png,Mona,"8,255",4.75,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/tighnari.png,Tighnari,"8,219",4.72,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/jean.png,Jean,"8,200",4.71,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/keqing.png,Keqing,"8,197",4.71,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/qiqi.png,Qiqi,"8,195",4.71,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/dehya.png,Dehya,"8,118",4.67,Gentry of Hermitage & Farewell of Snezhnaya
/images/characters/yelan.png,Yelan,"98,836",37.5,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/lyney.png,Lyney,"77,500",29.41,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/qiqi.png,Qiqi,"12,665",4.81,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/keqing.png,Keqing,"12,588",4.78,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/tighnari.png,Tighnari,"12,562",4.77,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/dehya.png,Dehya,"12,553",4.76,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/diluc.png,Diluc,"12,320",4.67,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/jean.png,Jean,"12,268",4.65,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/mona.png,Mona,"12,255",4.65,Conjuring Chiaroscuro & Discerner of Enigmas
/images/characters/wanderer.png,Wanderer,"74,537",33.57,Drifting Luminescence & From Ashes Reborn
/images/characters/sangonomiya_kokomi.png,Sangonomiya Kokomi,"72,964",32.86,Drifting Luminescence & From Ashes Reborn
/images/characters/tighnari.png,Tighnari,"10,853",4.89,Drifting Luminescence & From Ashes Reborn
/images/characters/jean.png,Jean,"10,753",4.84,Drifting Luminescence & From Ashes Reborn
/images/characters/dehya.png,Dehya,"10,653",4.8,Drifting Luminescence & From Ashes Reborn
/images/characters/qiqi.png,Qiqi,"10,632",4.79,Drifting Luminescence & From Ashes Reborn
/images/characters/mona.png,Mona,"10,630",4.79,Drifting Luminescence & From Ashes Reborn
/images/characters/keqing.png,Keqing,"10,527",4.74,Drifting Luminescence & From Ashes Reborn
/images/characters/diluc.png,Diluc,"10,509",4.73,Drifting Luminescence & From Ashes Reborn
/images/characters/eula.png,Eula,"55,772",47.05,Born of Ocean Swell & Sparkling Steps
/images/characters/klee.png,Klee,"22,677",19.13,Born of Ocean Swell & Sparkling Steps
/images/characters/qiqi.png,Qiqi,"5,809",4.9,Born of Ocean Swell & Sparkling Steps
/images/characters/diluc.png,Diluc,"5,804",4.9,Born of Ocean Swell & Sparkling Steps
/images/characters/dehya.png,Dehya,"5,765",4.86,Born of Ocean Swell & Sparkling Steps
/images/characters/keqing.png,Keqing,"5,720",4.83,Born of Ocean Swell & Sparkling Steps
/images/characters/tighnari.png,Tighnari,"5,717",4.82,Born of Ocean Swell & Sparkling Steps
/images/characters/jean.png,Jean,"5,682",4.79,Born of Ocean Swell & Sparkling Steps
/images/characters/mona.png,Mona,"5,601",4.72,Born of Ocean Swell & Sparkling Steps
/images/characters/kaedehara_kazuha.png,Kaedehara Kazuha,"121,962",49.41,Caution in Confidence & Leaves in the Wind
/images/characters/alhaitham.png,Alhaitham,"46,290",18.75,Caution in Confidence & Leaves in the Wind
/images/characters/tighnari.png,Tighnari,"11,410",4.62,Caution in Confidence & Leaves in the Wind
/images/characters/keqing.png,Keqing,"11,343",4.6,Caution in Confidence & Leaves in the Wind
/images/characters/diluc.png,Diluc,"11,211",4.54,Caution in Confidence & Leaves in the Wind
/images/characters/dehya.png,Dehya,"11,183",4.53,Caution in Confidence & Leaves in the Wind
/images/characters/jean.png,Jean,"11,182",4.53,Caution in Confidence & Leaves in the Wind
/images/characters/mona.png,Mona,"11,174",4.53,Caution in Confidence & Leaves in the Wind
/images/characters/qiqi.png,Qiqi,"11,067",4.48,Caution in Confidence & Leaves in the Wind
/images/characters/yae_miko.png,Yae Miko,"60,342",39.78,Tapestry of Golden Flames & Everbloom Violet
/images/characters/yoimiya.png,Yoimiya,"38,396",25.31,Tapestry of Golden Flames & Everbloom Violet
/images/characters/keqing.png,Keqing,"7,726",5.09,Tapestry of Golden Flames & Everbloom Violet
/images/characters/tighnari.png,Tighnari,"7,636",5.03,Tapestry of Golden Flames & Everbloom Violet
/images/characters/jean.png,Jean,"7,634",5.03,Tapestry of Golden Flames & Everbloom Violet
/images/characters/qiqi.png,Qiqi,"7,619",5.02,Tapestry of Golden Flames & Everbloom Violet
/images/characters/dehya.png,Dehya,"7,502",4.95,Tapestry of Golden Flames & Everbloom Violet
/images/characters/diluc.png,Diluc,"7,421",4.89,Tapestry of Golden Flames & Everbloom Violet
/images/characters/mona.png,Mona,"7,420",4.89,Tapestry of Golden Flames & Everbloom Violet
/images/characters/baizhu.png,Baizhu,"83,065",43.81,Immaculate Pulse & Adrift in the Harbor
/images/characters/ganyu.png,Ganyu,"42,301",22.31,Immaculate Pulse & Adrift in the Harbor
/images/characters/tighnari.png,Tighnari,"9,314",4.91,Immaculate Pulse & Adrift in the Harbor
/images/characters/dehya.png,Dehya,"9,247",4.88,Immaculate Pulse & Adrift in the Harbor
/images/characters/diluc.png,Diluc,"9,233",4.87,Immaculate Pulse & Adrift in the Harbor
/images/characters/jean.png,Jean,"9,174",4.84,Immaculate Pulse & Adrift in the Harbor
/images/characters/mona.png,Mona,"9,092",4.8,Immaculate Pulse & Adrift in the Harbor
/images/characters/keqing.png,Keqing,"9,091",4.79,Immaculate Pulse & Adrift in the Harbor
/images/characters/qiqi.png,Qiqi,"9,090",4.79,Immaculate Pulse & Adrift in the Harbor
/images/characters/nahida.png,Nahida,"131,540",48.28,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/nilou.png,Nilou,"51,949",19.07,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/tighnari.png,Tighnari,"12,872",4.72,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/mona.png,Mona,"12,761",4.68,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/diluc.png,Diluc,"12,725",4.67,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/jean.png,Jean,"12,697",4.66,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/keqing.png,Keqing,"12,693",4.66,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/qiqi.png,Qiqi,"12,597",4.62,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/dehya.png,Dehya,"12,594",4.62,The Moongrass' Enlightenment & Twirling Lotus
/images/characters/shenhe.png,Shenhe,"108,264",36.26,The Transcendent One Returns & The Herons Court
/images/characters/kamisato_ayaka.png,Kamisato Ayaka,"91,884",30.77,The Transcendent One Returns & The Herons Court
/images/characters/qiqi.png,Qiqi,"16,526",5.54,The Transcendent One Returns & The Herons Court
/images/characters/mona.png,Mona,"16,464",5.51,The Transcendent One Returns & The Herons Court
/images/characters/diluc.png,Diluc,"16,445",5.51,The Transcendent One Returns & The Herons Court
/images/characters/keqing.png,Keqing,"16,399",5.49,The Transcendent One Returns & The Herons Court
/images/characters/tighnari.png,Tighnari,"16,292",5.46,The Transcendent One Returns & The Herons Court
/images/characters/jean.png,Jean,"16,247",5.44,The Transcendent One Returns & The Herons Court
/images/characters/dehya.png,Dehya,49,0.02,The Transcendent One Returns & The Herons Court
/images/characters/dehya.png,Dehya,"57,974",40.72,Auric Blaze & Twilight Arbiter
/images/characters/cyno.png,Cyno,"34,225",24.04,Auric Blaze & Twilight Arbiter
/images/characters/keqing.png,Keqing,"8,454",5.94,Auric Blaze & Twilight Arbiter
/images/characters/diluc.png,Diluc,"8,377",5.88,Auric Blaze & Twilight Arbiter
/images/characters/tighnari.png,Tighnari,"8,376",5.88,Auric Blaze & Twilight Arbiter
/images/characters/jean.png,Jean,"8,350",5.87,Auric Blaze & Twilight Arbiter
/images/characters/mona.png,Mona,"8,333",5.85,Auric Blaze & Twilight Arbiter
/images/characters/qiqi.png,Qiqi,"8,266",5.81,Auric Blaze & Twilight Arbiter
/images/characters/yelan.png,Yelan,"188,779",40.4,Moment of Bloom & Discerner of Enigmas
/images/characters/hu_tao.png,Hu Tao,"128,417",27.48,Moment of Bloom & Discerner of Enigmas
/images/characters/mona.png,Mona,"25,233",5.4,Moment of Bloom & Discerner of Enigmas
/images/characters/tighnari.png,Tighnari,"25,106",5.37,Moment of Bloom & Discerner of Enigmas
/images/characters/jean.png,Jean,"25,061",5.36,Moment of Bloom & Discerner of Enigmas
/images/characters/keqing.png,Keqing,"24,992",5.35,Moment of Bloom & Discerner of Enigmas
/images/characters/diluc.png,Diluc,"24,782",5.3,Moment of Bloom & Discerner of Enigmas
/images/characters/qiqi.png,Qiqi,"24,647",5.27,Moment of Bloom & Discerner of Enigmas
/images/characters/dehya.png,Dehya,228,0.05,Moment of Bloom & Discerner of Enigmas
/images/characters/alhaitham.png,Alhaitham,"148,853",51.05,Caution in Confidence & Invitation to Mundane Life
/images/characters/xiao.png,Xiao,"45,463",15.59,Caution in Confidence & Invitation to Mundane Life
/images/characters/mona.png,Mona,"16,309",5.59,Caution in Confidence & Invitation to Mundane Life
/images/characters/diluc.png,Diluc,"16,244",5.57,Caution in Confidence & Invitation to Mundane Life
/images/characters/jean.png,Jean,"16,209",5.56,Caution in Confidence & Invitation to Mundane Life
/images/characters/keqing.png,Keqing,"16,197",5.56,Caution in Confidence & Invitation to Mundane Life
/images/characters/qiqi.png,Qiqi,"16,182",5.55,Caution in Confidence & Invitation to Mundane Life
/images/characters/tighnari.png,Tighnari,"16,087",5.52,Caution in Confidence & Invitation to Mundane Life
/images/characters/dehya.png,Dehya,30,0.01,Caution in Confidence & Invitation to Mundane Life
/images/characters/raiden_shogun.png,Raiden Shogun,"201,770",53.95,Reign of Serenity & Azure Excursion
/images/characters/kamisato_ayato.png,Kamisato Ayato,"50,048",13.38,Reign of Serenity & Azure Excursion
/images/characters/tighnari.png,Tighnari,"20,752",5.55,Reign of Serenity & Azure Excursion
/images/characters/mona.png,Mona,"20,420",5.46,Reign of Serenity & Azure Excursion
/images/characters/jean.png,Jean,"20,373",5.45,Reign of Serenity & Azure Excursion
/images/characters/keqing.png,Keqing,"20,250",5.41,Reign of Serenity & Azure Excursion
/images/characters/diluc.png,Diluc,"20,246",5.41,Reign of Serenity & Azure Excursion
/images/characters/qiqi.png,Qiqi,"20,148",5.39,Reign of Serenity & Azure Excursion
/images/characters/dehya.png,Dehya,11,0,Reign of Serenity & Azure Excursion
/images/characters/wanderer.png,Wanderer,"250,029",59.59,From Ashes Reborn & Oni's Royale
/images/characters/arataki_itto.png,Arataki Itto,"28,681",6.84,From Ashes Reborn & Oni's Royale
/images/characters/mona.png,Mona,"23,635",5.63,From Ashes Reborn & Oni's Royale
