id,character_name,rerun,revenue,rarity,region,vision,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,max_ascencion_hp,max_ascencion_atk,max_ascencion_def,max_lv_hp,max_lv_atk,max_lv_def,base_hp,base_atk,base_def,special_0,special_1,special_2,special_3,special_4,special_5,special_6,max_num_normal_atk,hair_color,eye_color
25,Xiao,1,"16,994,406",5,Liyue,Anemo,Polearm,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""",Liyue Adeptus,2021/2/3,TRUE,Laila Berzins,kinsen,Yoshitsugu Matsuoka ,Sim Kyu-hyuk ,CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Slime Condensate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Shadow of the Warrior,3425.490479,90.47984314,210.8925018,"11,418",301,702,957.3805542,25.28735924,58.94174957,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,6,teal,golden
26,Venti,1,"16,614,209",5,Mondstadt,Anemo,Bow,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,Mondstadt,2020/9/28,TRUE,Erika Harlacher,Miaojiang ,Ayumu Murase ,Jung Yoo-jung ,Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Slime Condensate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tail of Boreas,3131.878,107.04148,201.474,"9,796",334,630,762.656,26.068,49.0606,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,6,blue,green
27,Kamisato Ayaka,0,"16,451,006",5,Inazuma,Cryo,Sword,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""",Yashiro Commission,2021/7/21,TRUE,Erica Mendez,Xiao N ,Saori Hayami ,Lee Yu-ri ,CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Old Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Bloodjade Branch,2870.8872,54.797653,194.5125,"9,569",182,648,802.3761,15.31488,54.36375,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,5,blue,blue
28,Zhongli,0,"16,264,892",5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,2020/12/1,TRUE,Keith Silverstein,Bo Peng ,Tomoaki Maeno ,Pyo Yeong-jae ,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Slime Condensate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,4971.856,34.0239,280.098,"15,552",106,876,1210.7164,8.2859,68.2062,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,6,brown,amber
29,Nilou,0,"15,731,680",5,Sumeru,Hydro,Sword,Medium Female,Lotos Somno,3-Dec,Swirling Steps,Zubayr Theater,2022/10/14,TRUE,Dani Chambers,Zisu Jiuyue ,Kanemoto Hisako ,Chae Rim ,HP,Padisarah,Fungal Spores,Perpetual Caliber,Fungal Spores,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God,4697.817,76.4582,245.7,"14,695",239,768,1143.984,18.62,59.83,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,3,red,blue
30,Albedo,2,"15,731,680",5,Mondstadt,Geo,Sword,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Knights of Favonius,2020/12/23,TRUE,Khoi Dao,Mace,Kenji Nojima ,Kim Myung-jun ,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Divining Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,4267.1836,94.80817,257.985,"13,348",296,806,1039.1188,23.0888,62.8215,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,5,blonde,teal
31,Ganyu,2,"15,681,840",5,Liyue,Cryo,Bow,Medium Female,Sinae Unicornis,2-Dec,Prosperous Peace,Yuehai Pavilion,2021/1/12,TRUE,Jennifer Losi,Su Lin ,Reina Ueda ,Kim Sun-hye ,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior,3490.7378,66.90411,237.51,"11,636",223,791,975.6164,18.6984,66.381,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,6,blue,purple-gold
32,Sangonomiya Kokomi,2,"15,681,840",5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,2021/9/21,TRUE,Risa Mei,Guiniang ,Suzuko Mimori ,Yeo Yun-mi ,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,4110.59,109.33523,250.614,"12,858",342,783,1000.986,26.6266,61.0266,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,3,pink,blue
33,Ganyu,0,"15,669,918",5,Liyue,Cryo,Bow,Medium Female,Sinae Unicornis,2-Dec,Prosperous Peace,Yuehai Pavilion,2021/1/12,TRUE,Jennifer Losi,Su Lin ,Reina Ueda ,Kim Sun-hye ,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior,4384.629,95.57275,245.7,"13,715",298,768,1067.7184,23.275,59.83,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,6,blue,purple-gold
34,Yae Miko,0,"15,110,264",5,Inazuma,Electro,Catalyst,Tall Female,Divina Vulpes,27-Jun,Fukuuchi Udon,Grand Narukami Shrine,2022/2/16,TRUE,Ratana,Mingya Du ,Ayane Sakura ,Moon Yoo-jeong ,CRIT Rate,Sea Ganoderma,Old Handguard,Dragonheir's False Fin,Old Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,The Meaning of Aeons,3588.6091,70.09002,225.225,"11,962",233,750,1002.9701,19.5888,62.9475,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,3,pink,purple
35,Yoimiya,1,"14,333,266",5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,2021/8/10,TRUE,Jenny Yokobori,Na Jin ,Kana Ueda ,Bak Sin-hee ,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Divining Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,4188.8867,103.21857,255.528,"13,103",322,799,1020.0524,25.137,62.2232,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,blonde,golden
36,Tartaglia,0,"13,443,619",5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,2020/11/11,TRUE,Griffin Burns,Yudong ,Ryohei Kimura ,Nam Doh-hyeong ,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,3653.856445,66.90411377,163.8,"12,179",223,546,1021.2059,18.6984,45.78,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,6,ginger,blue
37,Arataki Itto,0,"13,404,072",5,Inazuma,Geo,Claymore,Tall Male,Taurus Iracundus,1-Jun,Way of the Strong,Arataki Gang,2021/12/14,TRUE,Max Mittelman,Zhaokun Liu ,Takanori Nishikawa ,Song Joon-seok ,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Slime Condensate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,3288.4717,99.39566,196.56,"10,286",310,614,800.7888,24.206,47.864,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,white,red-yellow
38,Xiao,0,"13,145,115",5,Liyue,Anemo,Polearm,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""",Liyue Adeptus,2021/2/3,TRUE,Laila Berzins,kinsen,Yoshitsugu Matsuoka ,Sim Kyu-hyuk ,CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Slime Condensate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Shadow of the Warrior,2870.8872,58.620743,188.37,"9,569",195,627,802.3761,16.38336,52.647,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,6,teal,golden
39,Eula,0,"12,619,390",5,Mondstadt,Cryo,Claymore,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,Knights of Favonius,2021/5/18,TRUE,Suzie Yeung,Ziyin ,Rina Sato ,Kim Hyeon-ji ,CRIT DMG,Dandelion Seed,Damaged Mask,Crystalline Bloom,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown,3686.4802,63.7182,225.225,"12,288",212,750,1030.3239,17.808,62.9475,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,5,blue,purple-yellow
40,Arataki Itto,1,"12,586,764",5,Inazuma,Geo,Claymore,Tall Male,Taurus Iracundus,1-Jun,Way of the Strong,Arataki Gang,2021/12/14,TRUE,Max Mittelman,Zhaokun Liu ,Takanori Nishikawa ,Song Joon-seok ,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Slime Condensate,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,3327.6194,64.99256,196.56,"11,092",216,655,930.0268,18.16416,54.936,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,white,red-yellow
41,Hu Tao,0,"12,481,634",5,Liyue,Pyro,Polearm,Medium Female,Papilio Charontis,15-Jul,Ghostly March,Wangsheng Funeral Parlor,2021/3/2,TRUE,Brianna Knickerbocker,Dian Tao ,Rie Takahashi ,Kim Ha-ru ,CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Whopperflower Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shard of a Foul Legacy,2870.8872,69.452835,171.99,"9,569",231,573,802.3761,19.41072,48.069,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,6,brown,red
42,Albedo,0,"11,816,107",5,Mondstadt,Geo,Sword,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Knights of Favonius,2020/12/23,TRUE,Khoi Dao,Mace,Kenji Nojima ,Kim Myung-jun ,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Divining Scroll,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,3719.104,69.45283508,213.554245,"12,397",231,711,1039.441772,19.41072,59.68567657,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,blonde,teal
43,Zhongli,1,"10,215,165",5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,2020/12/1,TRUE,Keith Silverstein,Bo Peng ,Tomoaki Maeno ,Pyo Yeong-jae ,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Slime Condensate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,3523.362549,101.6894,171.99,"11,021",318,537,857.987976,24.7646,41.881,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,6,brown,amber
44,Kaedehara Kazuha,0,"9,807,112",5,Inazuma,Anemo,Sword,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,The Crux,2021/6/29,TRUE,Mark Whitten,Banma ,Nobunaga Shimazaki ,Kim Shin-woo ,Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Treasure Hoarder Insignia,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Gilded Scale,3751.7275,66.90411,213.96375,"12,506",223,713,1048.5597,18.6984,59.800125,0.00%,0.00%,28.80%,57.60%,57.60%,86.40%,115.20%,5,blonde,red
45,Keqing,0,"9,505,798",5,Liyue,Electro,Sword,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Liyue Qixing,2020/9/28,FALSE,Kayli Mills,Ying Xie ,Eri Kitamura ,Lee Bo-hee ,CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Whopperflower Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Ring of Boreas,3327.62,91.74984,208.845,"10,409",287,653,810.322,22.344,50.8555,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,5,purple,purple
46,Yoimiya,0,"8,615,144",5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,2021/8/10,TRUE,Jenny Yokobori,Na Jin ,Kana Ueda ,Bak Sin-hee ,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Divining Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,3311.961,95.57275,201.474,"10,360",298,630,806.5087,23.275,49.0606,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,blonde,golden
47,Tartaglia,2,"7,785,438",5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,2020/11/11,TRUE,Griffin Burns,Yudong ,Ryohei Kimura ,Nam Doh-hyeong ,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,4044.037354,112.3935547,253.5623932,"12,650",351,793,984.78,27.3714,61.74456,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%,6,ginger,blue
48,Sangonomiya Kokomi,0,"7,020,975",5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,2021/9/21,TRUE,Risa Mei,Guiniang ,Suzuko Mimori ,Yeo Yun-mi ,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,4697.8169,66.595,184.275,"14,695",208,576,1143.984,16.218,44.8725,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,3,pink,blue
49,Klee,1,"7,006,180",5,Mondstadt,Pyro,Catalyst,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Knights of Favonius,2020/10/20,TRUE,Poonam Basu,Hualing ,Misaki Kuno ,Bang Yeon-ji ,Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Divining Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,4854.4106,73.39987,232.9236,"15,184",229,728,1182.1168,17.8752,56.71884,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,3,blonde,red
50,Tartaglia,1,"6,965,445",5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,2020/11/11,TRUE,Griffin Burns,Yudong ,Ryohei Kimura ,Nam Doh-hyeong ,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,2936.1348,63.7182,171.99,"9,787",212,573,820.6119,17.808,48.069,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%,6,ginger,blue
